"","ITAG","SGN_annotation","AGI","gene_name"
"19","Solyc01g109420.2.1","Flavoprotein wrbA (AHRD V1 ***- B6SPB2_MAIZE); contains Interpro domain(s)  IPR010089  Flavoprotein WrbA ","AT4G36750","quinone reductase family protein; similar to quinone reductase family protein [Arabidopsis thaliana] (TAIR:AT4G27270.1); similar to quinone reductase 2 [Triticum monococcum] (GB:AAW78582.1); similar to Os01g0784800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044464.1); similar to Os10g0436800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064672.1); contains InterPro domain Flavodoxin/nitric oxide synthase; (InterPro:IPR008254)"
"20","Solyc02g063260.2.1","Multidrug resistance protein mdtK (AHRD V1 ***- MDTK_ERWCT); contains Interpro domain(s)  IPR015521  MATE family transporter related protein ","AT1G71140","MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G15170.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE93671.1); similar to Os01g0684900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043893.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)"
"21","Solyc02g068820.1.1",NA,NA,NA
"22","Solyc02g069250.2.1","Cinnamyl alcohol dehydrogenase-like protein (AHRD V1 **** A9PHZ1_POPTR); contains Interpro domain(s)  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing ","AT4G39330","mannitol dehydrogenase, putative; Identical to Probable mannitol dehydrogenase (EC 1.1.1.255) (NAD-dependent mannitol dehydrogenase) (CAD1) [Arabidopsis Thaliana] (GB:P42734); similar to mannitol dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT2G21890.1); similar to mannitol dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT2G21730.1); similar to cinnamyl-alcohol dehydrogenase (GB:AAA74746.1); similar to Probable mannitol dehydrogenase (NAD-dependent mannitol dehydrogenase) (GB:P42734); contains InterPro domain GroES-like; (InterPro:IPR011032); contains InterPro domain Alcohol dehydrogenase superfamily, zinc-containing; (InterPro:IPR002085); contains InterPro domain Alcohol dehydrogenase, zinc-binding; (InterPro:IPR013149); contains InterPro domain Alcohol dehydrogenase GroES-like; (InterPro:IPR013154)"
"23","Solyc02g071340.1.1","Lipid A export ATP-binding/permease protein msbA (AHRD V1 *--- MSBA_SYNAS); contains Interpro domain(s)  IPR003439  ABC transporter-like ","AT4G18050","PGP9 (P-GLYCOPROTEIN 9); ATPase, coupled to transmembrane movement of substances; Identical to Multidrug resistance protein 9 (P-glycoprotein 9) (MDR9) [Arabidopsis Thaliana] (GB:Q9M0M2;GB:Q9SVW6); similar to PGP11 (P-GLYCOPROTEIN 11), ATPase, coupled to transmembrane movement of substances [Arabidopsis thaliana] (TAIR:AT1G02520.1); similar to (P-GLYCOPROTEIN 7, PGP7), ATPase, coupled to transmembrane movement of substances [Arabidopsis thaliana] (TAIR:AT5G46540.1); similar to PGP4 (P-GLYCOPROTEIN 4, P-GLYCOPROTEIN4), ATPase, coupled to transmembrane movement of substances / xenobiotic-transporting ATPase [Arabidopsis thaliana] (TAIR:AT2G47000.1); similar to Cyclic peptide transporter [Medicago truncatula] (GB:ABE92210.1); similar to Cyclic peptide transporter [Medicago truncatula] (GB:ABE80334.1); similar to Cyclic peptide transporter [Medicago truncatula] (GB:ABE93334.1); contains InterPro domain ABC transporter, transmembrane region, type 1; (InterPro:IPR011527); contains InterPro domain ABC transporter, transmembrane region; (InterPro:IPR001140); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain ABC transporter related; (InterPro:IPR003439)"
"24","Solyc02g073580.1.1","BZIP transcription factor (AHRD V1 **-- Q8W5R8_ORYSA)","AT4G18650","transcription factor-related; similar to ZW2 [Arabidopsis thaliana] (TAIR:AT1G58330.1); similar to predicted protein [Gossypium hirsutum] (GB:AAT64037.1)"
"25","Solyc02g077040.2.1","Cathepsin B-like cysteine proteinase 5 (AHRD V1 **-* CPR5_CAEEL); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain ","AT3G49340","cysteine proteinase, putative; similar to cysteine proteinase, putative [Arabidopsis thaliana] (TAIR:AT2G27420.1); similar to cysteine proteinase precursor [Ipomoea batatas] (GB:AAL14199.1); similar to cysteine protease [Ipomoea batatas] (GB:AAK27968.1); contains InterPro domain Peptidase, cysteine peptidase active site; (InterPro:IPR000169); contains InterPro domain Peptidase C1A, papain; (InterPro:IPR013128); contains InterPro domain Proteinase inhibitor I29, cathepsin propeptide; (InterPro:IPR013201); contains InterPro domain Peptidase C1A, papain C-terminal; (InterPro:IPR000668)"
"26","Solyc02g077550.2.1","DUF599 family protein (AHRD V1 ***- Q8T1D5_DICDI); contains Interpro domain(s)  IPR006747  Protein of unknown function DUF599 ","AT5G46060","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G24600.1); similar to Os09g0327000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062886.1); similar to Os08g0377500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061682.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAC55679.1); contains InterPro domain Protein of unknown function DUF599; (InterPro:IPR006747)"
"27","Solyc02g080210.2.1","Pectinesterase (AHRD V1 ***- B9RXQ4_RICCO); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic ","AT1G11580","pectin methylesterase, putative; similar to pectin methylesterase, putative [Arabidopsis thaliana] (TAIR:AT1G11590.1); similar to pectin methylesterase [Sesbania rostrata] (GB:CAD29733.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)"
"28","Solyc02g082060.1.1","PPPDE peptidase domain-containing protein 1 (AHRD V1 *--- PPDE1_XENLA); contains Interpro domain(s)  IPR008580  Protein of unknown function DUF862, eukaryotic ","AT4G25680","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G25660.1); similar to Protein of unknown function DUF862, eukaryotic [Medicago truncatula] (GB:ABE85315.1); similar to Os10g0533900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065158.1); contains InterPro domain Protein of unknown function DUF862, eukaryotic; (InterPro:IPR008580)"
"29","Solyc02g084730.2.1","Ribosomal RNA small subunit methyltransferase A (AHRD V1 *-*- C2HM18_LACAC); contains Interpro domain(s)  IPR011530  rRNA adenine dimethylase ","AT5G66360","ribosomal RNA adenine dimethylase family protein; similar to dimethyladenosine transferase, putative [Arabidopsis thaliana] (TAIR:AT2G47420.1); similar to hypothetical protein [Thellun (GB:ABB45840.1); contains InterPro domain Ribosomal RNA adenine methylase transferase; (InterPro:IPR001737); contains InterPro domain SAM (and some other nucleotide) binding motif; (InterPro:IPR000051); contains InterPro domain RRNA 16S rRNA dimethylase; (InterPro:IPR011530)"
"30","Solyc02g084980.2.1","Galactinol synthase (AHRD V1 ***- C7G304_SOLLC); contains Interpro domain(s)  IPR002495  Glycosyl transferase, family 8 ","AT2G47180","ATGOLS1 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 1); transferase, transferring hexosyl groups; similar to ATGOLS2 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 2), transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G56600.1); similar to galactinol synthase [Brassica napus] (GB:AAD26116.1); contains InterPro domain Glycosyl transferase, family 8; (InterPro:IPR002495)"
"31","Solyc02g089170.2.1","Alpha-1 4-glucan-protein synthase (AHRD V1 **-* B9RLK7_RICCO); contains Interpro domain(s)  IPR004901  Alpha-1,4-glucan-protein synthase, UDP-forming ","AT3G02230","reversibly glycosylated polypeptide possibly involved in plant cell wall synthesis"
"32","Solyc02g091380.1.1",NA,NA,NA
"33","Solyc03g044790.2.1",NA,NA,NA
"34","Solyc03g045140.2.1","Cyclopropane-fatty-acyl-phospholipid synthase (AHRD V1 *-*- C7LRK7_DESBD); contains Interpro domain(s)  IPR003333  Cyclopropane-fatty-acyl-phospholipid synthase ","AT3G23530","cyclopropane fatty acid synthase, putative / CPA-FA synthase, putative; similar to cyclopropane fatty acid synthase-related [Arabidopsis thaliana] (TAIR:AT3G23480.1); similar to cyclopropane-fatty-acyl-phospholipid synthase [Arabidopsis thaliana] (TAIR:AT3G23470.1); similar to cyclopropane fatty acid synthase, putative / CPA-FA synthase, putative [Arabidopsis thaliana] (TAIR:AT3G23510.1); similar to cyclopropane fatty acid synthase [Gossypium hirsutum] (GB:AAT74601.1); similar to cyclopropane synthase [Sterculia foetida] (GB:AAM33848.1); similar to cyclopropane fatty acid synthase [Gossypium hirsutum] (GB:AAT74602.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Adrenodoxin reductase; (InterPro:IPR000759); contains InterPro domain Cyclopropane-fatty-acyl-phospholipid synthase; (InterPro:IPR003333); contains InterPro domain SAM (and some other nucleotide) binding motif; (InterPro:IPR000051); contains InterPro domain Amine oxidase; (InterPro:IPR002937)"
"35","Solyc03g082690.2.1",NA,NA,NA
"36","Solyc03g111800.2.1","Receptor like kinase, RLK","AT2G31880","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT2G33170.1); similar to receptor-like protein kinase [Nicotiana tabacum] (GB:BAC07504.2); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
"37","Solyc03g112210.1.1",NA,NA,NA
"38","Solyc03g114330.2.1",NA,NA,NA
"39","Solyc03g117160.2.1",NA,NA,NA
"40","Solyc03g118520.2.1",NA,NA,NA
"41","Solyc03g120260.2.1","Coatomer beta&apos subunit (AHRD V1 ***- C4YSS2_CANAW); contains Interpro domain(s)  IPR020472  G-protein beta WD-40 repeat, region ","AT1G52360","coatomer protein complex, subunit beta 2 (beta prime), putative; similar to coatomer protein complex, subunit beta 2 (beta prime), putative [Arabidopsis thaliana] (TAIR:AT3G15980.3); similar to coatomer protein complex, subunit beta 2 (beta prime), putative [Arabidopsis thaliana] (TAIR:AT1G79990.1); similar to Coatomer protein complex, subunit beta 2 (beta prime) [Rattus norve (GB:AAH88397.1); similar to putative coatomer protein complex, subunit beta 2 (beta prime) [Oryza sativa (japonica cultivar-group)] (GB:BAD25014.1); similar to putative Gol (GB:BAD25013.1); contains InterPro domain C2; (InterPro:IPR000008); contains InterPro domain WD-40 repeat; (InterPro:IPR001680); contains InterPro domain Quinoprotein amine dehydrogenase, beta chain-like; (InterPro:IPR011044); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990); contains InterPro domain Coatomer WD associated region; (InterPro:IPR006692)"
"42","Solyc03g123780.2.1","Receptor like kinase, RLK","AT1G72300","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT1G17240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G53890.1); similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT1G17250.1); similar to putative leucine-rich repeat receptor-like kinase [Oryza sativa (indica cultivar-group)] (GB:AAU12600.1); similar to putative leucine-rich repeat receptor-like kinase [Oryza sativa (indica cultivar-group)] (GB:AAU12603.1); similar to leucine-rich receptor-like protein kinase [Daucus carota] (GB:AAL99366.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"43","Solyc04g007490.2.1",NA,NA,NA
"44","Solyc04g011880.1.1","Glutaredoxin (AHRD V1 ***- B9IBJ4_POPTR); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II ","AT1G03020","glutaredoxin family protein; Identical to Putative monothiol glutaredoxin-S1 (AtGrxS1) (GRXS1) [Arabidopsis Thaliana] (GB:Q9SA68); similar to glutaredoxin family protein [Arabidopsis thaliana] (TAIR:AT3G62930.1); similar to Fgenesh protein 66 [Beta vulgaris] (GB:ABD83292.1); contains InterPro domain Thioredoxin-like fold; (InterPro:IPR012336); contains InterPro domain Glutaredoxin; (InterPro:IPR002109); contains InterPro domain Thioredoxin fold; (InterPro:IPR012335); contains InterPro domain Glutaredoxin-like, plant II; (InterPro:IPR011905)"
"45","Solyc04g050950.2.1",NA,NA,NA
"46","Solyc04g051470.1.1",NA,NA,NA
"47","Solyc04g054720.2.1","Exonuclease DNA polymerase III epsilon subunit family (AHRD V1 *-*- C7NIC3_KYTSD); contains Interpro domain(s)  IPR006055  Exonuclease ","AT4G39810","exonuclease family protein; similar to exonuclease family protein [Arabidopsis thaliana] (TAIR:AT1G74390.1); similar to Os10g0407500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064570.1); similar to exonuclease family protein, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABG66074.1); contains InterPro domain Exonuclease; (InterPro:IPR006055); contains InterPro domain Polynucleotidyl transferase, Ribonuclease H fold; (InterPro:IPR012337); contains InterPro domain Exonuclease, RNase T and DNA polymerase III; (InterPro:IPR013520)"
"48","Solyc04g074420.1.1","Phi-1 protein (Fragment) (AHRD V1 **-- Q4LAX0_CAPCH); contains Interpro domain(s)  IPR006766  Phosphate-induced protein 1 conserved region ","AT4G08950","phosphate-responsive protein, putative (EXO); similar to PHI-1 (PHOSPHATE-INDUCED 1) [Arabidopsis thaliana] (TAIR:AT1G35140.1); similar to phi-1 [Nicotiana tabacum] (GB:BAA33810.1); contains InterPro domain Phosphate-induced protein 1 conserved region; (InterPro:IPR006766)"
"49","Solyc04g074470.1.1","Os06g0220000 protein (Fragment) (AHRD V1 ***- Q0DDJ2_ORYSJ); contains Interpro domain(s)  IPR006766  Phosphate-induced protein 1 conserved region ","AT5G64260","phosphate-responsive protein, putative; similar to phosphate-responsive protein, putative [Arabidopsis thaliana] (TAIR:AT5G09440.1); similar to erg-1 [Solanum tuberosum] (GB:AAP42136.1); contains InterPro domain Phosphate-induced protein 1 conserved region; (InterPro:IPR006766)"
"50","Solyc04g078900.2.1","Cytochrome P450","AT3G19270","Encodes a protein with ABA 8'-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family."
"51","Solyc04g079880.2.1","1-acyl-sn-glycerol-3-phosphate acyltransferase (AHRD V1 **** B2LWM4_RICCO); contains Interpro domain(s)  IPR002123  Phospholipid/glycerol acyltransferase ","AT1G75020","LPAT4; acyltransferase; Identical to Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 4 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 4) (LPAT4) [Arabidopsis Thaliana] (GB:Q8L4Y2;GB:Q9C9P8;GB:Q9SSH0); similar to LPAT5 [Arabidopsis thaliana] (TAIR:AT3G18850.4); similar to Os05g0502200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055974.1); similar to putative acyl-CoA:1-acylglycerol-3-phosphate acyltransferase [Oryza sativa (japonica cultivar-group)] (GB:BAD53283.1); similar to Os01g0782500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044448.1); contains InterPro domain Phospholipid/glycerol acyltransferase; (InterPro:IPR002123)"
"52","Solyc04g080640.1.1",NA,NA,NA
"53","Solyc04g081960.1.1",NA,NA,NA
"54","Solyc05g005550.2.1","BURP domain-containing protein (Fragment) (AHRD V1 *--- C1PI44_ARATH); contains Interpro domain(s)  IPR004873  BURP ","AT1G70370","BURP domain-containing protein / polygalacturonase, putative; Identical to Probable polygalacturonase non-catalytic subunit JP650 precursor (Aromatic-rich glycoprotein JP650) (JP650) [Arabidopsis Thaliana] (GB:P92990;GB:O64599;GB:Q8H7B8;GB:Q93ZQ4); similar to JP630, polygalacturonase [Arabidopsis thaliana] (TAIR:AT1G23760.1); similar to BURP domain-containing protein / polygalacturonase, putative [Arabidopsis thaliana] (TAIR:AT1G60390.1); similar to Polygalacturonase-1 non-catalytic subunit beta precursor (AroGP1) (Polygalacturonase converter) (PG converter) (GB:Q40161); similar to polygalacturonase isoenzyme 1 beta subunit homolog (GB:AAB39546.1); similar to Polygalacturonase non-catalytic subunit AroGP2 precursor (GB:P93217); contains InterPro domain BURP; (InterPro:IPR004873)"
"55","Solyc05g005680.2.1","Xyloglucan endotransglucosylase/hydrolase 2 (AHRD V1 **** D5HP44_9ROSA); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT1G10550","predicted to function in cell wall modification"
"56","Solyc05g010720.2.1",NA,NA,NA
"57","Solyc05g014550.1.1",NA,NA,NA
"58","Solyc05g016060.2.1",NA,NA,NA
"59","Solyc05g024230.1.1",NA,NA,NA
"60","Solyc05g047630.1.1",NA,NA,NA
"61","Solyc05g048800.1.1",NA,NA,NA
"62","Solyc05g050380.2.1","Cyclic nucleotide-gated ion channel 1 (AHRD V1 **** B6U0R1_MAIZE); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding ","AT4G01010","member of Cyclic nucleotide gated channel family"
"63","Solyc05g050440.2.1",NA,NA,NA
"64","Solyc05g051200.1.1",NA,NA,NA
"65","Solyc05g051760.2.1",NA,NA,NA
"66","Solyc06g009150.1.1",NA,NA,NA
"67","Solyc06g009900.1.1",NA,NA,NA
"68","Solyc06g036110.1.1","C2 domain-containing protein (AHRD V1 *--- Q5DVL6_HORVD); contains Interpro domain(s)  IPR018029  C2 membrane targeting protein ","AT5G23950","C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G07310.1); similar to C2 domain-containing protein [Hordeum vulgare subsp. vulgare] (GB:CAI58613.1); contains InterPro domain C2; (InterPro:IPR000008); contains InterPro domain C2 calcium/lipid-binding region, CaLB; (InterPro:IPR008973)"
"69","Solyc06g059860.2.1",NA,NA,NA
"70","Solyc06g059930.2.1",NA,NA,NA
"71","Solyc06g062490.2.1","Os03g0731050 protein (Fragment) (AHRD V1 ***- C7IZG5_ORYSJ); contains Interpro domain(s)  IPR004949  Protein of unknown function DUF266, plant ","AT3G21310","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G51770.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:AAT77886.1); contains InterPro domain Protein of unknown function DUF266, plant; (InterPro:IPR004949)"
"72","Solyc06g066650.2.1","Pollen-specific kinase partner protein-like protein (Fragment) (AHRD V1 *--- Q5DK68_SOLLC); contains Interpro domain(s)  IPR005512  Rop nucleotide exchanger, PRONE ","AT1G79860","Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily."
"73","Solyc06g068270.2.1","1-aminocyclopropane-1-carboxylate oxidase 1 (AHRD V1 **-* ACCO1_MALDO); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT1G49390","oxidoreductase, 2OG-Fe(II) oxygenase family protein; similar to oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] (TAIR:AT5G20400.1); similar to ethylene-forming-enzyme-like dioxygenase [Prunus armeniaca] (GB:AAB88878.1); contains InterPro domain 2OG-Fe(II) oxygenase; (InterPro:IPR005123)"
"74","Solyc06g068520.2.1",NA,NA,NA
"75","Solyc06g069710.2.1","NAC domain protein IPR003441 (AHRD V1 ***- B9I557_POPTR); contains Interpro domain(s)  IPR003441  No apical meristem (NAM) protein ","AT5G61430","ANAC100/ATNAC5 (Arabidopsis NAC domain containing protein 100); transcription factor; similar to ANAC079/ANAC080/ATNAC4 (Arabidopsis NAC domain containing protein 79, Arabidopsis NAC domain containing protein 80), transcription factor [Arabidopsis thaliana] (TAIR:AT5G07680.1); similar to NAC5 protein [Glycine max] (GB:AAX85982.1); contains InterPro domain No apical meristem (NAM) protein; (InterPro:IPR003441)"
"76","Solyc06g074620.2.1","Os02g0448600 protein (Fragment) (AHRD V1 *--- Q0E1G8_ORYSJ)","AT2G27830","similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT4G22760.1); similar to hypothetical protein [Catharanthus roseus] (GB:CAC09928.1)"
"77","Solyc06g075780.1.1",NA,NA,NA
"78","Solyc06g076090.2.1","Actin (AHRD V1 ***- B5M4V6_TOBAC); contains Interpro domain(s)  IPR004000  Actin/actin-like ","AT3G12110","Encodes an actin that is expressed predominantly during reproductive development."
"79","Solyc06g082440.1.1","CBL-interacting protein kinase 16 (AHRD V1 ***- A0MNK3_POPTR); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ","AT2G30360","Encodes a SOS2-like protein kinase that is a member of the CBL-interacting protein kinase family."
"80","Solyc06g083700.2.1","Monooxygenase (AHRD V1 **** D5ZV09_9ACTO); contains Interpro domain(s)  IPR000103  Pyridine nucleotide-disulphide oxidoreductase, class-II ","AT4G28720","flavin-containing monooxygenase family protein / FMO family protein; similar to SUPER1/YUCCA5 (SUPPRESSOR OF ER1), monooxygenase [Arabidopsis thaliana] (TAIR:AT5G43890.1); similar to flavin-containing monooxygenase family protein / FMO family protein [Arabidopsis thaliana] (TAIR:AT1G04180.1); similar to Pyridine nucleotide-disulphide oxidoreductase, class I; FAD-dependent pyridine nucleotide-disulphide oxidoreductase [Medicago truncatula] (GB:ABE89940.1); contains InterPro domain Flavin-containing monooxygenase FMO; (InterPro:IPR000960); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, class-II; (InterPro:IPR000103); contains InterPro domain FAD-dependent pyridine nucleotide-disulphide oxidoreductase; (InterPro:IPR013027)"
"81","Solyc07g008690.2.1",NA,NA,NA
"82","Solyc07g052990.1.1",NA,NA,NA
"83","Solyc07g053570.2.1","Zinc finger family protein (AHRD V1 ***- D7MN23_ARALY); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ","AT1G03840","nucleic acid binding / zinc ion binding; similar to zinc finger (C2H2 type) family protein [Arabidopsis thaliana] (TAIR:AT5G44160.1); similar to Os01g0242200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042553.1); similar to Zinc finger, C2H2-type [Medicago truncatula] (GB:ABD28501.1); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)"
"84","Solyc07g054310.1.1",NA,NA,NA
"85","Solyc07g055710.2.1",NA,NA,NA
"86","Solyc07g064600.2.1",NA,NA,NA
"87","Solyc07g065070.1.1",NA,NA,NA
"88","Solyc08g006380.2.1","UDP-glucosyltransferase family 1 protein (AHRD V1 **** C6KI44_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ","AT2G31750","UGT74D1 (UDP-glucosyl transferase 74D1); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G05680.1); similar to UDP-glucose:salicylic acid glucosyltransferase [Nicotiana tabacum] (GB:AAF61647.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"89","Solyc08g007460.2.1",NA,NA,NA
"90","Solyc08g014010.2.1",NA,NA,NA
"91","Solyc08g062290.2.1",NA,NA,NA
