"","ITAG","SGN_annotation","AGI","gene_name"
"13","Solyc02g070950.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41422_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"14","Solyc02g070970.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41422_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"15","Solyc02g070980.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41422_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"16","Solyc02g070990.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41422_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT2G34430","Photosystem II type I chlorophyll            a/b-binding protein"
"17","Solyc02g071000.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41425_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"18","Solyc02g071010.1.1","Chlorophyll a/b binding protein (AHRD V1 **** Q41422_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"19","Solyc02g084110.1.1",NA,NA,NA
"20","Solyc03g005780.1.1","Chlorophyll a-b binding protein 3C-like (AHRD V1 **** Q2XTE0_SOLTU); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT1G29930","Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center."
"21","Solyc03g005790.2.1",NA,NA,NA
"22","Solyc03g006470.2.1",NA,NA,NA
"23","Solyc03g025670.2.1","PAR-1c protein (AHRD V1 ***- Q43589_TOBAC); contains Interpro domain(s)  IPR009489  PAR1 ","AT5G52390","photoassimilate-responsive protein, putative; similar to photoassimilate-responsive protein-related [Arabidopsis thaliana] (TAIR:AT3G54040.1); similar to PAR-1c [Nicotiana tabacum] (GB:CAA58732.1); contains InterPro domain PAR1; (InterPro:IPR009489)"
"24","Solyc03g025680.2.1","PAR-1c protein (AHRD V1 ***- Q43589_TOBAC); contains Interpro domain(s)  IPR009489  PAR1 ","AT5G52390","photoassimilate-responsive protein, putative; similar to photoassimilate-responsive protein-related [Arabidopsis thaliana] (TAIR:AT3G54040.1); similar to PAR-1c [Nicotiana tabacum] (GB:CAA58732.1); contains InterPro domain PAR1; (InterPro:IPR009489)"
"25","Solyc03g033840.2.1","26S protease regulatory subunit 6B homolog (AHRD V1 *--- PRS6B_ASPNG); contains Interpro domain(s)  IPR003959  ATPase, AAA-type, core ","AT3G50930","AAA-type ATPase family protein; similar to AAA-type ATPase family protein [Arabidopsis thaliana] (TAIR:AT3G50940.1); similar to AAA ATPase [Medicago truncatula] (GB:ABE84083.1); contains InterPro domain AAA-protein subdomain; (InterPro:IPR003960); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"
"26","Solyc03g034400.2.1","Multidrug resistance protein mdtK (AHRD V1 ***- MDTK_EDWI9); contains Interpro domain(s)  IPR015521  MATE family transporter related protein ","AT1G71140","MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G15170.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE93671.1); similar to Os01g0684900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043893.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)"
"27","Solyc03g096760.1.1",NA,NA,NA
"28","Solyc03g115540.1.1",NA,NA,NA
"29","Solyc03g119540.2.1",NA,NA,NA
"30","Solyc03g122140.2.1","L-lactate dehydrogenase (AHRD V1 ***- B2WEY8_PYRTR); contains Interpro domain(s)  IPR012133  Alpha-hydroxy acid dehydrogenase, FMN-dependent ","AT3G14130","(S)-2-hydroxy-acid oxidase, peroxisomal, putative / glycolate oxidase, putative / short chain alpha-hydroxy acid oxidase, putative; similar to (S)-2-hydroxy-acid oxidase, peroxisomal, putative / glycolate oxidase, putative / short chain alpha-hydroxy acid oxidase, putative [Arabidopsis thaliana] (TAIR:AT3G14150.2); similar to glycolate oxidase [Brassica napus] (GB:AAV28535.1); similar to Os07g0616500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060276.1); contains InterPro domain FMN/related compound-binding core; (InterPro:IPR003009); contains InterPro domain Alpha-hydroxy acid dehydrogenase, FMN-dependent; (InterPro:IPR012133); contains InterPro domain FMN-dependent alpha-hydroxy acid dehydrogenase; (InterPro:IPR000262); contains InterPro domain FMN-dependent alpha-hydroxy acid dehydrogenase, active site; (InterPro:IPR008259)"
"31","Solyc03g122160.1.1",NA,NA,NA
"32","Solyc04g005700.2.1",NA,NA,NA
"33","Solyc04g007010.2.1",NA,NA,NA
"34","Solyc04g011680.1.1",NA,NA,NA
"35","Solyc04g058160.1.1",NA,NA,NA
"36","Solyc05g006730.2.1","Glutathione S-transferase 3 (AHRD V1 **** Q9SEK1_PAPSO); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal ","AT1G10370","ATGSTU17/ERD9/GST30/GST30B (EARLY-RESPONSIVE TO DEHYDRATION 9, GLUTATHIONE S-TRANSFERASE 30, GLUTATHIONE S-TRANSFERASE 30B); glutathione transferase; similar to ATGSTU18 (GLUTATHIONE S-TRANSFERASE 29), glutathione transferase [Arabidopsis thaliana] (TAIR:AT1G10360.1); similar to glutathione S-transferase 1 [Papaver somniferum] (GB:AAF22517.1); contains InterPro domain Thioredoxin-like fold; (InterPro:IPR012336); contains InterPro domain Glutathione S-transferase, N-terminal; (InterPro:IPR004045); contains InterPro domain Glutathione S-transferase, C-terminal-like; (InterPro:IPR010987); contains InterPro domain Thioredoxin fold; (InterPro:IPR012335)"
"37","Solyc05g012970.2.1",NA,NA,NA
"38","Solyc05g046140.2.1",NA,NA,NA
"39","Solyc05g046150.2.1",NA,NA,NA
"40","Solyc05g046200.2.1",NA,NA,NA
"41","Solyc05g051580.2.1","Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY); contains Interpro domain(s)  IPR004249  NPH3 ","AT5G10250","phototropic-responsive protein, putative; similar to NPH3 (NON-PHOTOTROPIC HYPOCOTYL 3), signal transducer [Arabidopsis thaliana] (TAIR:AT5G64330.1); similar to 80A08_21 [Brassica rapa subsp. pekinensis] (GB:AAZ67606.1); contains InterPro domain NPH3; (InterPro:IPR004249); contains InterPro domain BTB; (InterPro:IPR000210)"
"42","Solyc05g051750.2.1",NA,NA,NA
"43","Solyc06g005770.1.1",NA,NA,NA
"44","Solyc06g005780.1.1",NA,NA,NA
"45","Solyc06g035580.2.1","Choline dehydrogenase (AHRD V1 ***- C0G363_9RHIZ); contains Interpro domain(s)  IPR012132  Glucose-methanol-choline oxidoreductase ","AT5G51950","glucose-methanol-choline (GMC) oxidoreductase family protein; similar to glucose-methanol-choline (GMC) oxidoreductase family protein [Arabidopsis thaliana] (TAIR:AT5G51930.1); similar to glucose-methanol-choline (GMC) oxidoreductase family protein [Arabidopsis thaliana] (TAIR:AT3G56060.1); similar to putative mandelonitrile lyase [Oryza sativa (japonica cultivar-group)] (GB:BAD29242.1); similar to Os04g0573100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053612.1); contains InterPro domain GMC oxidoreductase; (InterPro:IPR007867); contains InterPro domain Glucose-methanol-choline oxidoreductase; (InterPro:IPR000172); contains InterPro domain Alcohol oxidase; (InterPro:IPR012132)"
"46","Solyc06g059710.2.1","Stearoyl-acyl carrier protein desaturase (AHRD V1 **** Q8LA10_ARATH); contains Interpro domain(s)  IPR005067  Fatty acid desaturase, type 2 ","AT1G43800","acyl-(acyl-carrier-protein) desaturase, putative / stearoyl-ACP desaturase, putative; similar to SSI2 (fatty acid biosynthesis 2), acyl-[acyl-carrier-protein] desaturase [Arabidopsis thaliana] (TAIR:AT2G43710.1); similar to stearoyl acyl carrier protein desaturase Lldd3A20 [Lupinus luteus] (GB:AAD28287.1); contains InterPro domain Fatty acid desaturase, type 2; (InterPro:IPR005067); contains InterPro domain Ribonucleotide reductase-related; (InterPro:IPR012348); contains InterPro domain Ferritin/ribonucleotide reductase-like; (InterPro:IPR009078)"
"47","Solyc06g064510.2.1",NA,NA,NA
"48","Solyc06g066420.2.1",NA,NA,NA
"49","Solyc06g069730.2.1","Chlorophyll a-b binding protein 4, chloroplastic (AHRD V1 ***- CA4_ARATH); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ","AT3G47470","Encodes a chlorophyll a/b-binding protein that is more similar to the PSI Cab proteins than the PSII cab proteins. The predicted protein is about 20 amino acids shorter than most known Cab proteins."
"50","Solyc06g074410.2.1",NA,NA,NA
"51","Solyc06g076920.2.1","Undecaprenyl pyrophosphate synthase (AHRD V1 **** D8G636_9CYAN); contains Interpro domain(s)  IPR001441  Di-trans-poly-cis-decaprenylcistransferase-like ","AT5G58770","dehydrodolichyl diphosphate synthase, putative / DEDOL-PP synthase, putative; Identical to Dehydrodolichyl diphosphate synthase 2 (EC 2.5.1.-) (Dedol-PP synthase 2) [Arabidopsis Thaliana] (GB:Q56Y11;GB:Q9LUY4); similar to dehydrodolichyl diphosphate synthase, putative / DEDOL-PP synthase, putative [Arabidopsis thaliana] (TAIR:AT5G58782.1); similar to Os01g0857200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044851.1); similar to Di-trans-poly-cis-decaprenylcistransferase [Anabaena variabilis ATCC 29413] (GB:YP_321433.1); contains InterPro domain Di-trans-poly-cis-decaprenylcistransferase; (InterPro:IPR001441)"
"52","Solyc07g005370.2.1",NA,NA,NA
"53","Solyc07g016050.2.1",NA,NA,NA
"54","Solyc07g049440.2.1","GDSL esterase/lipase At2g04570 (AHRD V1 ***- GDL34_ARATH); contains Interpro domain(s)  IPR001087  Lipase, GDSL ","AT2G04570","GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana] (TAIR:AT2G42990.1); similar to GDSL-motif lipase/hydrolase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD22300.1); similar to Os06g0636700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058145.1); contains InterPro domain Lipolytic enzyme, G-D-S-L; (InterPro:IPR001087)"
"55","Solyc07g054280.1.1","Aromatic amino acid decarboxylase (AHRD V1 **** D4NUX2_CIMRA); contains Interpro domain(s)  IPR010977  Aromatic-L-amino-acid decarboxylase ","AT2G20340","tyrosine decarboxylase, putative; Identical to Tyrosine decarboxylase 1 (EC 4.1.1.25) (ELI5) [Arabidopsis Thaliana] (GB:Q8RY79;GB:Q9SK68;GB:Q9SMY2;GB:Q9SMY3); similar to tyrosine decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT4G28680.1); similar to Os07g0437500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059509.1); similar to tyrosine/dopa decarboxylase [Thalictrum flavum subsp. glaucum] (GB:AAG60665.1); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129); contains InterPro domain Aromatic-L-amino-acid decarboxylase; (InterPro:IPR010977)"
"56","Solyc07g062510.2.1","Cytochrome P450","AT3G14690","putative cytochrome P450"
"57","Solyc08g014190.2.1",NA,NA,NA
"58","Solyc08g023660.2.1",NA,NA,NA
"59","Solyc08g066260.2.1","Histidine decarboxylase (AHRD V1 ***- Q9MA74_ARATH); contains Interpro domain(s)  IPR002129  Pyridoxal phosphate-dependent decarboxylase ","AT1G43710","EMB1075 (EMBRYO DEFECTIVE 1075); carboxy-lyase; similar to GAD2 (GLUTAMATE DECARBOXYLASE 2), calmodulin binding [Arabidopsis thaliana] (TAIR:AT1G65960.1); similar to serine decarboxylase [Brassica napus] (GB:BAA78331.1); similar to Os02g0541300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047064.1); similar to putative serine decarboxylase [Beta vulgaris] (GB:BAE07183.1); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"
"60","Solyc08g068490.2.1","Indole-3-acetic acid-amido synthetase GH3.8 (AHRD V1 **** B6U4E2_MAIZE); contains Interpro domain(s)  IPR004993  GH3 auxin-responsive promoter ","AT4G03400","Encodes a GH3-related gene involved in red light-specific hypocotyl elongation.  Analysis of sense and antisense transgenic plants suggests that DFL2 is located downstream of red light signal transduction and determines the degree of hypocotyl elongation."
"61","Solyc08g068670.2.1","Decarboxylase family protein (AHRD V1 ***- B1ILJ6_CLOBK); contains Interpro domain(s)  IPR002129  Pyridoxal phosphate-dependent decarboxylase ","AT1G43710","EMB1075 (EMBRYO DEFECTIVE 1075); carboxy-lyase; similar to GAD2 (GLUTAMATE DECARBOXYLASE 2), calmodulin binding [Arabidopsis thaliana] (TAIR:AT1G65960.1); similar to serine decarboxylase [Brassica napus] (GB:BAA78331.1); similar to Os02g0541300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047064.1); similar to putative serine decarboxylase [Beta vulgaris] (GB:BAE07183.1); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"
"62","Solyc08g078870.1.1",NA,NA,NA
"63","Solyc08g081610.2.1",NA,NA,NA
"64","Solyc09g092740.2.1",NA,NA,NA
"65","Solyc09g092750.2.1",NA,NA,NA
"66","Solyc09g098010.2.1",NA,NA,NA
"67","Solyc09g098030.2.1",NA,NA,NA
"68","Solyc10g018190.1.1",NA,NA,NA
"69","Solyc10g080840.1.1",NA,NA,NA
"70","Solyc11g007540.1.1","Cytochrome P450","AT5G04660","encodes a protein with cytochrome P450 domain"
"71","Solyc11g007880.1.1",NA,NA,NA
"72","Solyc11g065600.1.1","Xyloglucan endotransglucosylase/hydrolase 6 (AHRD V1 ***- C0IRG5_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT5G13870","EXGT-A4, endoxyloglucan transferase,"
"73","Solyc12g008840.1.1","Beta-galactosidase (AHRD V1 ***- O81100_SOLLC); contains Interpro domain(s)  IPR001944  Glycoside hydrolase, family 35 ","AT3G13750","beta-galactosidase, glycosyl hydrolase family 35"
"74","Solyc12g041960.1.1",NA,NA,NA
"75","Solyc12g056710.1.1",NA,NA,NA
"76","Solyc12g056980.1.1",NA,NA,NA
"77","Solyc12g057100.1.1",NA,NA,NA
"78","Solyc12g088250.1.1","Serine carboxypeptidase 1 (AHRD V1 ***- B6TC80_MAIZE); contains Interpro domain(s)  IPR001563  Peptidase S10, serine carboxypeptidase ","AT2G22970","SCPL11; serine carboxypeptidase; similar to SCPL12, serine carboxypeptidase [Arabidopsis thaliana] (TAIR:AT2G22920.1); similar to Peptidase S10, serine carboxypeptidase [Medicago truncatula] (GB:ABE93325.1); contains InterPro domain Peptidase S10, serine carboxypeptidase; (InterPro:IPR001563)"
